_id,sectionsTitle,date,lessonsTitle,type,totalQuestionsInQuiz,duration,totalPointsInAssignment,url
63fa1682182c67aa884b90ef,Pandas Advance,2023-02-25,Pandas Assignment,assignment,,,100.0,https://api.pwskills.com/v1/learn/lesson/course/63a2eb428899436daf7eb489/63fa1682182c67aa884b90ef
63fa2330182c6727c14b9189,Pandas Advance,2023-02-25,Pandas Advance quiz,quiz,8.0,,,https://api.pwskills.com/v1/learn/lesson/course/63a2eb428899436daf7eb489/63fa2330182c6727c14b9189
63fb5dfb182c67ca984b9a99,Numpy,2023-02-26,Numpy Part-1,video,,4308.0,,https://api.pwskills.com/v1/learn/lesson/course/63a2eb428899436daf7eb489/63fb5dfb182c67ca984b9a99
63fb5e0f182c67c5f84b9a9f,Numpy,2023-02-26,Numpy part-2,video,,1220.0,,https://api.pwskills.com/v1/learn/lesson/course/63a2eb428899436daf7eb489/63fb5e0f182c67c5f84b9a9f
63fb5e2d182c674c454b9aa8,Numpy,2023-02-26,Numpy part-3,video,,692.0,,https://api.pwskills.com/v1/learn/lesson/course/63a2eb428899436daf7eb489/63fb5e2d182c674c454b9aa8
63fb7e48182c67a2a64b9b0a,Numpy,2023-02-26,Numpy Assignment,assignment,,,100.0,https://api.pwskills.com/v1/learn/lesson/course/63a2eb428899436daf7eb489/63fb7e48182c67a2a64b9b0a
63fce096182c6709784bbb21,Numpy,2023-02-26,Numpy quiz,quiz,16.0,,,https://api.pwskills.com/v1/learn/lesson/course/63a2eb428899436daf7eb489/63fce096182c6709784bbb21
64009f5d182c6746f04c0782,Visualization,2023-03-02,Matplotlib,video,,2609.0,,https://api.pwskills.com/v1/learn/lesson/course/63a2eb428899436daf7eb489/64009f5d182c6746f04c0782
64009ea1182c6794d24c077a,Visualization,2023-03-02,Matplotlib Assignment,assignment,,,50.0,https://api.pwskills.com/v1/learn/lesson/course/63a2eb428899436daf7eb489/64009ea1182c6794d24c077a
6400b65c182c6756464c097c,Visualization,2023-03-02,Visualization quiz,quiz,8.0,,,https://api.pwskills.com/v1/learn/lesson/course/63a2eb428899436daf7eb489/6400b65c182c6756464c097c
6400cb07182c67910a4c0a47,Python Practice Questions,2023-03-06,Python Practice  Set 1,sectionResource,,,,https://drive.google.com/file/d/1L_tcdZtU8LTQHBW55BgP401Vc0LK6WBB/view?usp=share_link
6400cb2d182c676f7e4c0a4c,Python Practice Questions,2023-03-06,Python Practice  Set -2,sectionResource,,,,https://drive.google.com/file/d/1KTqO_etrU_vv2pLw_tSTj8v6VnWccUWn/view?usp=share_link
6400cd7d182c67cf834c0a5c,Python Practice Questions,2023-03-06,Python Practice  Set -3,sectionResource,,,,https://drive.google.com/file/d/1jjprPxTjLzPcPPhG2PZnlWJ-aV20pn3J/view?usp=share_link
6400cd99182c6714624c0a61,Python Practice Questions,2023-03-06,Python Practice  Set -4,sectionResource,,,,https://drive.google.com/file/d/1UB1g5MfyfhFmVzCZ8z4769fARR1IwiNs/view?usp=share_link
6400cdc4182c6733f44c0a67,Python Practice Questions,2023-03-06,Python Practice  Set -5,sectionResource,,,,https://drive.google.com/file/d/1kdJDtYQmyCdYkSTot6LhnY1tOXnxsUTd/view?usp=share_link
6400cdec182c6794f44c0a6c,Python Practice Questions,2023-03-06,Python Practice  Set -6,sectionResource,,,,https://drive.google.com/file/d/1BzYwKz0YGsvl-T1N9mr4_3amSlzCzDiB/view?usp=share_link
